,name,bday,name_sp,num_of_child,education,role,birthplace,bday_sp,birthplace_sp,role_sp,name_sp_sp,num_of_child_sp
430,Ruby Dee,1922-10-27,Frankie Dee Brown  (m.  c.  1941 ; div. 1945) Ossie Davis ( m.  1948; died 2005),"3, including  Guy Davis",,"Actress, poet, playwright, screenwriter, journalist, activist","Cleveland ,  Ohio , U.S.",1917-12-18,"Cogdell,  Clinch County, Georgia , U.S.","Actor, director, poet, playwright, author, activist","February 4, 2005 (2005-02-04)  (aged 87) Miami ,  Florida , U.S.","3, including  Guy Davis"
431,Sandra Dee,1942-04-23,Bobby Darin ( m.  1960;  div.  1967),1,Hollywood Professional School,"Actress, model","Bayonne, New Jersey , U.S.",1936-05-14,"East Harlem ,  New York City , U.S.","
 Singer 
 songwriter 
 actor 
","December 20, 1973 (1973-12-20)  (aged 37) Los Angeles ,  California , U.S.",
432,Kaylee DeFer,1986-09-23,Michael Fitzpatrick  ( m.  2015),2,,Actress,"Tucson, Arizona , U.S.",,,,,
433,Gloria DeHaven,1925-07-23,John Payne ( m.  1944;  div.  1950) Martin Kimmel [1] ( m.  1953;  div.  1954) Richard Fincher ( m.  1957;  div.  1963) Richard Fincher ( m.  1965;  div.  1969),4,,"Actress, singer","Los Angeles ,  California , U.S.",1912-05-23,"Roanoke ,  Virginia , U.S.","Actor, singer",Anne Shirley ( m.  1937;  div.  1943) Gloria DeHaven ( m.  1944;  div.  1950) Alexandra Crowell Curtis  ( m.  1953),"3, including  Julie Payne"
434,Olivia de Havilland,1916-07-01,"
 Marcus Goodrich ( m.  1946;  div.  1953) 
 Pierre Galante ( m.  1955;  div.  1979) 
",2,,Actress,"Tokyo ,  Japan",1897-11-28,"San Antonio ,  Texas , U.S","Screenwriter, novelist",Olivia de Havilland ( m.   1946 ;  div.  1953),1
435,Nicole DeHuff,1975-01-06,Ari Palitz (2000-2005) (her death),,,Actress,"Antlers, Oklahoma ,  U.S.",,,,,
436,Wanda De Jesus,1958-08-26,Jimmy Smits  (1986–present),,,Actress,"Manhattan ,  New York , U.S.",,,,,
437,Paz de la Huerta,1984-09-03,,,,Actress,"New York City , U.S.",,,,,
438,Allie DeBerry,1994-10-26,Tyler Beede  ( m.   2017 ) [1],,,"Actress, model","Kingwood, Texas , U.S.",,,,,
439,Kate del Castillo,1972-10-23,Luis García  (2001–2004) Aarón Díaz  (2009–2012),,,Actress,"Mexico City ,  Mexico",,,,,
440,Kim Delaney,1961-11-29,Charles Grant ( m.  1984;  div.  1988) Joseph Cortese ( m.  1989;  div.  1994),1,,Actress,"Philadelphia ,  Pennsylvania , U.S.",1957-11-29,"Winston-Salem, North Carolina ,  United States",Actor,,
441,Diane Delano,1957-01-29,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
442,Dana Delany,1956-03-13,,,,"Actress, producer","New York City ,  New York ,  U.S.",,,,,
443,Grey DeLisle,1973-08-24,"
 Christopher DeLisle ( m.  1992;  div.  1993) 
 Murry Hammond ( m.  2002;  div.  2010) 
 Jared Griffin ( m.  2012;  div.  2017) 
",3,,"Voice actress, singer-songwriter","Fort Ord ,  California , U.S.",,,,,
444,Julie Delpy,1969-12-21,Dimitris Birbilis ( m.  2015),1,,Actress,"Paris ,  France",,,,,
445,Drea de Matteo,1972-01-19,Shooter Jennings  (2001–2013) Michael Devin,2,Loyola School,Actress,"Queens ,  New York , U.S.",,,,,
446,Rebecca De Mornay,1959-08-29,Bruce Wagner ( m.   1986 ;  div.  1990),2,,"Actress, producer","Santa Rosa, California , U.S.",,,,,
447,Carol Dempster,1901-12-09,Edwin S. Larsen ( m.  1926–1978),,,Actress,"Duluth, Minnesota , U.S.",,,,,
448,Lori Beth Denberg,,,,,Actress/Comedian,,,,,,
449,Kat Dennings,1986-06-13,,,,Actress,"Bryn Mawr, Pennsylvania , U.S.",,,,,
450,Sandy Dennis,1937-04-27,,,,Actress,"Hastings, Nebraska , U.S.",,,,,
451,Bo Derek,1956-11-20,John Derek ( m.  1976; died 1998),,,Actress,"Long Beach, California , U.S.",1926-08-12,"Hollywood ,  California , U.S.","Actor, director, photographer",Pati Behrs ( m.  1948;  div.  1955) Ursula Andress ( m.  1957;  div.  1966) Linda Evans ( m.  1968;  div.  1974) Bo Derek ( m.  1976; died 1998),2
452,Laura Dern,1967-02-10,Ben Harper ( m.  2005;  div.  2013),2,,"Actress, activist, director, producer","Los Angeles ,  California , U.S.",,,,,
453,Portia de Rossi,1973-01-31,Mel Metcalfe ( m.  1996;  div.  1999) Ellen DeGeneres  ( m.  2008),,,"Actress, model, philanthropist","Horsham, Victoria , Australia",,,,,
454,Donna D'Errico,1968-03-30,American,2,,"Model, actress [3]","Dothan, Alabama , U.S. [2]",,,,,
455,Melissa De Sousa,1967-09-25,,,High School of Performing Arts,Actress,"New York City ,  New York , U.S.",,,,,
456,Emily Deschanel,1976-10-11,David Hornsby  ( m.   2010 ),2,,"
 Actress 
 Producer 
","Los Angeles , California, U.S.",1975-12-01,"Newport News, Virginia , U.S.","Actor, screenwriter, producer",Emily Deschanel  ( m.   2010 ),2
457,Mary Jo Deschanel,1945-11-25,Caleb Deschanel  ( m.  1972),Emily Deschanel Zooey Deschanel,,Actress,"Los Angeles ,  California , U.S.",1944-09-21,"Philadelphia ,  Pennsylvania , United States","Cinematographer, film director",Mary Jo Weir  ( m.  1972),Emily Deschanel  (b. 1976) Zooey Deschanel  (b. 1980)
458,Zooey Deschanel,1980-01-17,Ben Gibbard ( m.  2009;  div.  2012) Jacob Pechenik ( m.  2015),2,,"
 Actress 
 model 
 singer 
 songwriter 
","Los Angeles ,  California , U.S.",,,,,
459,Amanda Detmer,1971-09-27,Bernardo Targett ( m.  2004;  div.  2007),,"California State University, Chico (BA)New York University (MFA)",Actress,"Chico, California , U.S.",,,,,
460,Madelyn Erin Deutch,1991-03-23,,,,Writer director actress musician,"Los Angeles ,  California , U.S.",,,,,
461,Zoey Deutch,1994-11-10,,,,"
 Actress 
 producer 
 model 
","Los Angeles ,  California , U.S.",,,,,
462,Kaitlyn Dever,1996-12-21,,,,Actress,"Phoenix, Arizona , U.S.",,,,,
463,Loretta Devine,1949-08-21,Glenn Marshall,,"University of Houston (1971, BA)Brandeis University (1976, MFA)","Actress, singer","Houston, Texas , U.S.",,,,,
464,Torrey DeVitto,1984-06-08,Paul Wesley ( m.  2011;  div.  2013) [1],,,"
 Actress 
 model 
 violinist 
 activist 
","Huntington, New York , U.S.",1982-07-23,"New Brunswick, New Jersey , U.S.","
 Actor 
 director 
 producer 
",Paul Wasilewski,
465,Jenna Dewan,1980-12-03,Channing Tatum ( m.  2009; sep 2018),1,,"
 Actress 
 dancer 
","Hartford, Connecticut , U.S.",1980-04-26,"Cullman, Alabama , U.S.","Actor, singer",Jenna Dewan ( m.  2009; sep 2018),1
466,Joyce DeWitt,1949-04-23,Ray Buktenica  (1979–1986),,"Ball State University, UCLA",Actress,"Wheeling ,  West Virginia , United States",,,,,
467,Rosemarie DeWitt,1971-10-26,Chris Messina ( m.  1995;  div.  2006) Ron Livingston  ( m.   2009 ),2,,Actress,"Flushing ,  Queens , New York, United States",1974-08-11,"Northport, New York , U.S.","
 Actor 
 film director 
",Rosemarie DeWitt ( m.  1995;  div.  2006),2
468,Noureen DeWulf,1984-02-28,James DeWulf ( m.  2000–2010) Ryan Miller  ( m.  2011),1,Boston University[1],Actress,"New York City, New York , U.S.",,,,,
469,Susan Dey,1952-12-10,Lenny Hirshan (1976–1981) Bernard Sofronski (1988–present),Sara Dey-Hirshan (b. 1978),,Model Actress,"Pekin, Illinois , United States",,,,,
470,Alyssa Diaz,1985-09-07,American,,Bishop Alemany High School,Actress,"Northridge ,  Los Angeles ,  California , U.S.",,,,,
471,Cameron Diaz,1972-08-30,Benji Madden  ( m.  2015),,,"Actress, writer, model","San Diego, California , U.S.",,,,,
472,Melonie Diaz,1984-04-25,,,,Actress,"New York City ,  New York , U.S.",,,,,
473,Kim Dickens,1965-06-18,,1,,Actress,"Huntsville, Alabama , U.S.",,,,,
474,Angie Dickinson,1931-09-30,Gene Dickinson ( m.  1952–1960) Burt Bacharach  ( m.  1965–1981),1 (deceased),,Actress,"Kulm, North Dakota , U.S.",,,,,
475,Marlene Dietrich,1901-12-27,Rudolf Sieber ( m.  1923; died 1976),Maria Riva,,Actress and singer,"Berlin ,  German Empire",,,,,
476,Victoria Dillard,1969-09-20,,,,Actress,"New York City ,  New York , U.S.",,,,,
477,Phyllis Diller,1917-07-17,Sherwood Anderson Diller ( m.  1939;  div.  1965) Warde Donovan Tatum ( m.  1965;  div.  1975),6,,"Actress, comedian","Lima, Ohio , U.S.",,,,,
478,Melinda Dillon,1939-10-13,Richard Libertini ( m.  1963;  div.  1978),1,,Actress,"Hope, Arkansas , U.S.",1933-05-21,"Cambridge, Massachusetts , U.S.",Actor,Melinda Dillon ( m.  1963;  div.  1978),1
479,Mia Dillon,1955-07-09,Actress,,,Actress,"Colorado Springs ,  Colorado , U.S.",1936-05-30,"Cleveland ,  Ohio , U.S.",Actor,Margot Bennett ( m.  1960;  div.  1968) Susan Lessons ( m.  1969;  div.  1970) Susie Fuller ( m.  1972; died 1998) Mia Dillon  ( m.  1999),
480,Donna Dixon,1957-07-20,Dan Aykroyd  ( m.  1983),3,,"Actress, model","Alexandria, Virginia , U.S.",1952-07-01,"Ottawa ,  Ontario , Canada",,Donna Dixon  ( m.  1983),3
481,Maria Dizzia,1974-12-29,Will Eno,1,"Cornell University (BA)University of California, San Diego (MFA)",Actress,"Cranford, New Jersey ,  U.S.",,,,,
482,Ellen Drew,1915-11-23,Fred Wallace (1935–1940) (divorced) 1 child Sy Bartlett  (1941–1949) (divorced) 1 child William T. Walker (1951–1967) (divorced) James Edward Herbert (1971–?),1 [2],,Actress,"Kansas City, Missouri , U.S.",,,,,
483,Megan Dodds,1970-02-15,Oliver Pearce,1,Juilliard School (BFA),Actress,"Sacramento, California , U.S.",,,,,
484,Shannen Doherty,1971-04-12,Ashley Hamilton ( m.  1993;  div.  1994) Rick Salomon ( m.  2002;  div.  2003) Kurt Iswarienko  ( m.  2011),,,Actress  •  director  •  producer,"Memphis, Tennessee , U.S.",1974-09-30,"Los Angeles ,  California , U.S.","
 Actor 
 musician 
 comedian 
",Shannen Doherty ( m.  1993;  div.  1994) Angie Everhart ( m.  1996;  div.  1997),
485,Ami Dolenz,1969-01-08,Jerry Trimble  ( m.  2002),,,"Actress, producer","Burbank, California , U.S.",,"Newport, Kentucky , U.S.",,Ami Dolenz  ( m.  2002),
486,Dagmara Domińczyk,1976-07-17,Patrick Wilson  ( m.  2005),2,Carnegie Mellon University (BFA),"
 Actress 
 author 
","Kielce , Poland",1973-07-03,"Norfolk, Virginia , U.S.","
 Actor 
 singer 
 producer 
",Dagmara Domińczyk  ( m.  2005),2
487,Elinor Donahue,1937-04-19,Richard Smith  (1955–61; divorced) Harry Ackerman  (1962–91; his death) Lou Genevrino  (1992–present),"Chris, Brian (b.1957), Peter, and James Ackerman [1]",,Actress,"Tacoma, Washington , US",,,,,
488,Jocelin Donahue,1981-11-08,,,,Actress,"Bristol ,  Connecticut , U.S.",,,,,
489,Elisa Donovan,1971-02-03,Charlie Bigelow ( m.  2012),1,,"Actress, writer, producer","Poughkeepsie, New York , U.S.",,,,,
490,Kaitlin Doubleday,1984-07-19,Devin Lucien ( m.  2016),,,Actress,"Los Angeles ,  California , U.S.",,,,,
491,Portia Doubleday,1988-06-22,,,,Actress,"Los Angeles ,  California , U.S.",,,,,
492,Donna Douglas,1932-09-26,"
 Roland John Bourgeois, Jr.  (1949–1954) 
 Robert M. Leeds  (1971–1980) 
",1,,"Actress, singer, writer","Pride, Louisiana , U.S.",,,,,
493,Illeana Douglas,1965-07-25,Jonathan Axelrod ( m.  1998;  div.  2001),,Neighborhood PlayhouseAADA,"Actress, director, screenwriter, producer","Quincy, Massachusetts , U.S.",,,,,
494,Fiona Dourif,1981-10-30,,,,"Actress, producer","Woodstock, New York , United States",,,,,
495,Billie Dove,1903-05-14,Irvin Willat (m.1923–1929; divorced) Robert Kenaston (m.1933–1970; his death); 2 children John Miller (m.1973–1997; her death),,,Actress,"New York City, New York , U.S.",,,,,
496,Ann Dowd,1956-01-30,Lawrence Arancio ( m.  1984),3,College of the Holy Cross (BA)DePaul University (MFA),Actress,"Holyoke, Massachusetts , U.S.",,,,,
497,Doris Dowling,1923-05-15,Artie Shaw ( m.  1952;  div.  1956) Robert F. Blumofe ( m.  1956;  div.  1959) Leonard B. Kaufman ( m.  1960–2004),1,,Actress,"Detroit ,  Michigan , U.S.",,,,,
498,Rachel Dratch,1966-02-22,John Wahl,1,,"Actress, comedian, writer","Lexington, Massachusetts , U.S.",,,,,
499,Fran Drescher,1957-09-30,Peter Marc Jacobson ( m.  1978;  div.  1999) Shiva Ayyadurai ( m.  2014; sep. 2016),,Hillcrest High School,"
 Actress 
 activist 
 writer 
 comedian 
","New York City , U.S.",1957-10-27,"Flushing, Queens ,  New York ,  U.S.","Writer, director, producer, actor",Fran Drescher ( m.  1978;  div.  1999),
500,Louise Dresser,1878-10-05,Jack Norworth  (m.1898-div.1908) Jack Gardner (m.1910-1950; his death),,,Actress,"Evansville ,  Indiana , U.S.",,,,,
501,Marie Dressler,1868-11-09,George Hoeppert ( m.  1899–1906) James Henry Dalton ( m.  1904–1921) [2],,,Actress,"Cobourg, Ontario , Canada",,,,,
502,Julia Louis-Dreyfus,1961-01-13,Actress voice artist comedian producer,2,,Actress voice artist comedian producer,"Manhattan ,  New York City ,  New York , U.S.",1958-03-21,"Santa Barbara, California , U.S.","Actor, comedian, director, writer",Julia Louis-Dreyfus  ( m.  1987),2
503,Joanne Dru,1922-01-31,Dick Haymes ( m.  1941;  div.  1949) John Ireland ( m.  1949;  div.  1957) George Pierose ( m.  1963; died 1972) C. V. Wood ( m.  1972; died 1992),3 [2],,Actress,"Logan, West Virginia , U.S.",1916-09-13,"Buenos Aires , Argentina","Actor, singer",Edith Harper ( m.  1939; annulled 1939) Joanne Dru ( m.  1941;  div.  1949) Nora Eddington ( m.  1949;  div.  1953) Rita Hayworth ( m.  1953;  div.  1955) Fran Jeffries ( m.  1958;  div.  1965) Wendy Smith ( m.  1966),6
504,Alice Drummond,1928-05-21,Paul Drummond ( m.  1951;  div.  1976),,,Actress,"Pawtucket ,  Rhode Island , US",,,,,
505,Anne Dudek,1975-03-22,Matthew Heller  (divorced. 2016),2,,Actress,"Boston ,  Massachusetts , U.S.",,,,,
506,Haylie Duff,1985-02-19,Matt Rosenberg (2012–present; engaged),2,,"Actress, singer, songwriter, television host, writer, fashion designer","Houston ,  Texas , U.S.",,,,,
507,Hilary Duff,1987-09-28,Mike Comrie ( m.  2010;  div.  2016),2,,"
 Actress 
 singer-songwriter 
 designer 
 author 
 producer 
","Houston ,  Texas , U.S.",,,,,
508,Olympia Dukakis,1931-06-20,Louis Zorich ( m.  1962; died 2018),3,Boston University,Actress,"Lowell, Massachusetts , U.S.",1924-02-12,"Chicago ,  Illinois , U.S.","Actor, musician",Olympia Dukakis  ( m.  1962),3
509,Patty Duke,1946-12-14,Patty Duke  Astin Anna Duke-Pearce,"3, including  Sean  and  Mackenzie Astin",,"Actress, author, mental health advocate","Elmhurst, Queens , U.S. [1]",,,,,
510,Faye Dunaway,1941-01-14,Peter Wolf ( m.  1974;  div.  1979) Terry O'Neill ( m.  1983;  div.  1987),Liam Dunaway O'Neill,,Actress,"Bascom, Florida , U.S.",,,,,
511,Jennifer Dundas,1971-01-14,,,,Actress,"Boston , Massachusetts, United States",,,,,
512,Dominique Dunne,1959-11-23,John Thomas Sweeney (ex-lover),,Harvard-Westlake School,Actress,"Santa Monica, California , U.S.",,,,,
513,Irene Dunne,1898-12-20,Francis Dennis Griffin ( m.  1927; died 1965),Mary Frances (b. 1936) adopted [1],,"
 actress 
 singer 
 philanthropist 
","Louisville, Kentucky , U.S.",,,,,
514,Mildred Dunnock,1901-01-25,Keith Merwin Urmy ( m.  1933),1,Western High School  Goucher College  Johns Hopkins University,Actress,"Baltimore ,  Maryland , U.S.",,,,,
515,Kirsten Dunst,1982-04-30,"Jesse Plemons  (2016–present, engaged)",1,,Actress,"Point Pleasant, New Jersey , U.S.",,,,,
516,Tiffany Dupont,1981-03-22,,,,Actress,"Colorado Springs, Colorado , U.S.",,,,,
517,Eliza Dushku,1980-12-30,Peter Palandjian  ( m.  2018),,,"Actress, activist, model, producer","Watertown, Massachusetts , U.S.",,,,,
518,Clea DuVall,1977-09-25,,,,"
 Actress 
 filmmaker 
","Los Angeles , California, U.S.",,,,,
519,Shelley Duvall,1949-07-07,Bernard Sampson ( m.  1970;  div.  1974),,South Texas Junior College,"Actress, producer, writer, singer","Houston ,  Texas , U.S.",,,,,
520,Ann Dvorak,1911-08-02,Leslie Fenton ( m.  1932;  div.  1945) Igor Dega ( m.  1947;  div.  1951) Nicholas Wade ( m.  1951; died 1975),,Catherine's ConventPage School for Girls,Actress,"New York City , U.S.",1902-03-12,"Liverpool ,  Lancashire , England",Actor Film director,Ann Dvorak  (1932–45; divorced) Marcella Zabala Howard (1952–78; his death),
521,Alexis Dziena,1984-07-08,,,,Actress,"New York ,  New York , U.S.",,,,,
522,Jeanne Eagels,1890-06-26,"Morris Dubinsky (m.?; div.?) Edward Harris ""Ted"" Coy ( m.  1925;  div.  1928)",,St. Joseph's Catholic SchoolMorris Public School,Actress,"Kansas City, Missouri , U.S.",,,,,
523,Bobbie Eakes,1961-07-25,David Steen  (m. 1992–present),,,"Actress, singer","Warner Robins ,  Georgia , United States",,,,,
524,Leslie Easterbrook,1949-07-29,Victor Holchak (1979-1988; divorced) Dan Wilcox (?-present),,,Actress,"Los Angeles ,  California , U.S.",,,,,
525,Alison Eastwood,1972-05-22,Kirk Fox ( m.  1999;  div.  2000) Stacy Poitras  ( m.  2013),,,"Actress, model, fashion designer","Carmel, California , [1] [2] [3] [4] [5]  U.S.",1969-08-26,"San Diego ,  California , U.S.","Actor, screenwriter, comedian",Alison Eastwood ( m.  1999;  div.  2000),
526,Mary Eaton,1901-01-29,Millard Webb  (1929-1935) (his death) Charles A. Emery (1937-1942) (divorced) Eddie Laughton  (19??-1948) (her death) [1],,,,"Norfolk, Virginia , U.S.",,,,,
527,Christine Ebersole,1953-02-21,Peter Bergman (1976–1981) Bill Moloney (m. 1988),3,,"Actress ,  singer","Chicago, Illinois , U.S.",,,,,
528,Sonya Eddy,1967-06-17,,,,Actress,"Concord, California , U.S.",,,,,
529,Lisa Edelstein,1966-05-21,Robert Russell ( m.  2014),,,"Actress, playwright","Boston ,  Massachusetts , United States",,,,,
530,Barbara Eden,1931-08-23,Michael Ansara ( m.  1958;  div.  1974) Charles Fegert ( m.  1977;  div.  1982) Jon Eicholtz  ( m.  1991),1,Abraham Lincoln High School,"Actress, singer","Tucson, Arizona , U.S.",1922-04-15,French Mandate for Syria and the Lebanon,Actor,Jean Byron ( m.  1955;  div.  1956) Barbara Eden ( m.  1958;  div.  1974) Beverly Kushida ( m.  1977; his death 2013),1
531,Melissa Claire Egan,1981-09-28,Matt Katrosar ( m.  2014),,University of North Carolina at Chapel Hill (B.A.),,"Pound Ridge, New York , U.S.",,,,,
532,Nicole Eggert,1972-01-13,Justin Herwick ( m.  2000;  div.  2002),2 [1] [2],,Actress,"Glendale, California , U.S.",1970-06-27,"Cerritos, California , U.S.",Actor,Nicole Eggert ( m.  2000;  div.  2002),
533,Jennifer Ehle,1969-12-29,Michael Ryan ( m.  2001),2,,Actress,"Winston-Salem, North Carolina , U.S.",,,,,
534,Lisa Eilbacher,1956-05-05,Bradford May ( m.  1988),,,Actress,"Dhahran , Saudi Arabia",,,,,
535,Jill Eikenberry,1947-01-21,Michael Tucker [1]  ( m.  1973),1,Columbia UniversityYale University (MFA),Actress,"New Haven ,  Connecticut , U.S",1945-02-06,"Baltimore ,  Maryland , U.S.",Actor  &  Author,Jill Eikenberry  ( m.  1973),2
536,Hallie Eisenberg,,,,,Actress,"East Brunswick, New Jersey ,  U.S.",,,,,
537,Carmen Electra,1972-04-20,"
 Dennis Rodman ( m.  1998;  div.  1999) 
 Dave Navarro ( m.  2003;  div.  2007) 
",,,"Actress, model, dancer, television personality, singer, entertainer","Sharonville, Ohio , U.S.",,,,,
538,Erika Eleniak,1969-09-29,Philip Goglia ( m.  1998;  div.  1998),1,,Actress,"Glendale, California",,,,,
539,Jenna Elfman,1971-09-30,Bodhi Elfman  ( m.  1995),2,,"Actress, producer","Los Angeles ,  California , U.S.",1969-07-19,"Los Angeles ,  California , U.S.","Actor, director, producer, screenwriter",Jenna Elfman  ( m.  1995),2
540,Kimberly Elise,1967-04-17,Maurice Oldham ( m.  1989;  div.  2005),2,,Actress,"Minneapolis, Minnesota ,  U.S.",,,,,
541,Shannon Elizabeth,1973-09-07,Joseph D. Reitman  (m. 2002–2005),,,"Actress, model","Houston ,  Texas ,  United States",,,,,
542,Vera-Ellen,,Robert Hightower ( m.  1941–1946)     Victor Rothschild ( m.  1954;  div.  1966),1,,"Dancer, actress","Norwood, Ohio , US",,,,,
543,Jane Elliot,1947-01-17,Luis Rojas,3,,Actress,"New York City ,  New York , U.S.",,,,,
544,Patricia Elliott,1938-07-21,,,,Actress,"Gunnison, Colorado , U.S.",,,,,
545,Aunjanue Ellis,1969-02-21,,,Tougaloo CollegeBrown University (BA)New York University (MFA),"Actress, producer","San Francisco, California , U.S.",,,,,
546,Molly Ephraim,1986-05-22,,,,Actress,"Philadelphia ,  Pennsylvania ,  United States",,,,,
547,Shareeka Epps,1989-07-11,,,,Actress,"Brooklyn, New York , U.S.",,,,,
548,Kathryn Erbe,1965-07-05,Terry Kinney ( m.  1993;  div.  2006),2,,Actress,"Newton, Massachusetts , U.S.",1954-01-29,"Lincoln, Illinois , U.S.",Actor,Elizabeth Perkins ( m.  1984;  div.  1988) Kathryn Erbe ( m.  1993;  div.  2006),2
549,Jennifer Esposito,1973-04-11,Bradley Cooper ( m.  2006;  div.  2007)     Louis Dowler ( m.  2014;  div.  2016),,Moore Catholic High School,Actress author baker health advocate businesswoman,"New York City ,  New York , U.S.",1975-01-05,"Philadelphia ,  Pennsylvania , U.S.","
 Actor 
 filmmaker 
",Jennifer Esposito ( m.  2006;  div.  2007),1
